#Time (s),Channel 1 (V),Channel 2 (V)
-7.664e-05,0.8705090984991805,0.4343122814627708
-7.661999999999999e-05,0.8748669563922146,0.4360113843659967
-7.659999999999999e-05,0.8775487150956217,0.4390697695918037
-7.658e-05,0.881236133312801,0.4390697695918037
-7.656e-05,0.885258771367911,0.4417883342369653
-7.654e-05,0.8872700903954651,0.4434874371401912
-7.651999999999999e-05,0.8892814094230194,0.4434874371401912
-7.65e-05,0.8919631681264236,0.4458661812047066
-7.648e-05,0.8956505863436075,0.4475652841079337
-7.646e-05,0.8986675648849387,0.4489245664305146
-7.643999999999999e-05,0.9000084442366415,0.4499440281724502
-7.642e-05,0.9030254227779714,0.4509634899143854
-7.64e-05,0.9053719616434526,0.451303310495031
-7.638e-05,0.9080537203468582,0.453002413398257
-7.635999999999999e-05,0.9117411385640408,0.454701516301483
-7.633999999999999e-05,0.9154285567812238,0.4577599015272905
-7.632e-05,0.9164342162950004,0.4591191838498707
-7.63e-05,0.9197864146742574,0.4597988250111611
-7.627999999999999e-05,0.9217977337018116,0.4597988250111611
-7.625999999999999e-05,0.924814712243144,0.461837748495032
-7.624e-05,0.9274964709465471,0.4611581073337423
-7.622e-05,0.9298430098120282,0.4628572102369679
-7.62e-05,0.932189548677508,0.4648961337208392
-7.617999999999999e-05,0.9338656478671366,0.46625541604342
-7.616e-05,0.9388939454360196,0.4682943395272903
-7.614e-05,0.9375530660843191,0.4689739806885816
-7.612e-05,0.9419109239773532,0.469653621849872
-7.609999999999999e-05,0.9429165834911303,0.4716925453337433
-7.608e-05,0.9455983421945345,0.4723721864950333
-7.606e-05,0.9469392215462386,0.4730518276563241
-7.604e-05,0.9499562000875698,0.4740712893982597
-7.601999999999999e-05,0.9526379587909753,0.476110212882131
-7.599999999999999e-05,0.9556549373323064,0.4767898540434215
-7.598e-05,0.9553197174943809,0.4771296746240665
-7.596e-05,0.9593423555494892,0.4784889569466474
-7.593999999999999e-05,0.9600127952253406,0.4791685981079378
-7.591999999999999e-05,0.9623593340908205,0.4808677010111638
-7.59e-05,0.962694553928746,0.4808677010111638
-7.588e-05,0.9647058729563003,0.4818871627530994
-7.586e-05,0.965041092794226,0.4825668039143899
-7.583999999999999e-05,0.9693989506872608,0.4842659068176158
-7.582e-05,0.9710750498768876,0.4842659068176158
-7.58e-05,0.9720807093906656,0.4856251891401967
-7.578e-05,0.973756808580294,0.4863048303014871
-7.575999999999999e-05,0.9740920284182197,0.4866446508821323
-7.574e-05,0.976103347445773,0.4869844714627773
-7.572e-05,0.978114666473328,0.4890233949466487
-7.57e-05,0.9804612053388079,0.4886835743660035
-7.567999999999999e-05,0.9814668648525849,0.4907224978498748
-7.565999999999999e-05,0.9831429640422135,0.4900428566885852
-7.564e-05,0.9831429640422135,0.4917419595918103
-7.562e-05,0.9844838433939161,0.4914021390111651
-7.559999999999999e-05,0.9844838433939161,0.4920817801724555
-7.557999999999999e-05,0.987836041773174,0.4934410624950362
-7.556e-05,0.9898473608007264,0.4931012419143914
-7.554e-05,0.9908530203145044,0.4948003448176173
-7.552e-05,0.9891769211248759,0.494460524236972
-7.549999999999999e-05,0.9925291195041325,0.4958198065595522
-7.548e-05,0.9918586798282818,0.4944605242369726
-7.546e-05,0.9915234599903557,0.4964994477208432
